idCrypto,nombre,categoria
0,bitcoin,payment
1,bitcoin-cash,payment
2,dai,payment
3,dash,payment
4,dogecoin,payment
5,litecoin,payment
6,monero,payment
7,nano,payment
8,ripple,payment
9,stellar,payment
10,tether,payment
11,zcash,payment
12,algorand,infrastructure
13,cardano,infrastructure
14,cosmos,infrastructure
15,eos,infrastructure
16,ethereum,infrastructure
17,ethereum-classic,infrastructure
18,icon,infrastructure
19,kusama,infrastructure
20,lisk,infrastructure
21,polkadot,infrastructure
22,tron,infrastructure
23,augur,financial
24,balancer,financial
25,gnosis,financial
26,kava,financial
27,melon,financial
28,chainlink,service
29,filecoin,service
30,storj,service
31,basic-attention-token,media&entretainment
